angle,ratio,O,Nhat,omega,it_basic,lmin_basic,lmax_basic,it_flat,lmin_flat,lmax_flat,it_exact,lmin_exact,lmax_exact
0.0,50,3,4,1.6296,168,0.004679517492052953,4.253335854873242,108,0.0032711358799439815,1.8206229141445691,87,0.015454444777318006,4.000000000000004
0.0,50,4,4,1.6344,163,0.00530989720337271,4.511020213774034,94,0.003413646308713205,1.805266906428072,77,0.020515463658312895,4.000000000000004
0.0,50,5,4,1.6387,158,0.005916236402562926,4.785599885318839,108,0.003504429819155044,1.7941478236976898,69,0.025896051928599062,4.0
0.0,100,0,1,1.6003,149,0.0017200922372023553,1.9440496325611103,149,0.0017200922372023553,1.9440496325611103,115,0.0020214973004438154,1.997894967651477
0.0,100,1,4,1.6126,167,0.004057447577649025,4.000698110368949,120,0.003297027290611423,1.9452021043297116,124,0.006271131268380646,3.999999999999999
0.0,100,2,4,1.6237,157,0.005679009453203974,4.03275894038197,108,0.004154975792743489,2.008554474405054,107,0.01077583230456635,4.000000000000002
0.0,100,3,4,1.6338,148,0.006967799848673889,4.1323975208122725,100,0.004662029953643328,2.0306118542411524,93,0.015523455073935466,4.000000000000004
0.0,100,4,4,1.6429,141,0.008078231981656823,4.290061015493735,98,0.004991375209916965,2.0367431461213785,82,0.020495760596434834,4.000000000000003
0.0,100,5,4,1.6511,135,0.00908411628046639,4.4886066056564395,108,0.005219417116732056,2.0384933361880684,74,0.02566346414630928,4.000000000000001
45.0,1,0,1,1.2183,190,0.00024478682465370327,1.6570994580099105,190,0.00024478682465370327,1.6570994580099105,102,0.0010249550423004888,1.998975044957072
45.0,1,1,4,1.2183,205,0.00029593072217516675,4.0488096866602366,161,0.0002687794546983917,1.2767123434882397,72,0.0031800327224888584,4.000000000000001
45.0,1,2,4,1.2183,249,0.00032596571359126757,4.375676611641894,157,0.00027179121738169653,1.2630518990167687,57,0.005464643337575753,4.000000000000002
45.0,1,3,4,1.2183,264,0.0003568250680160125,4.516762757873907,156,0.00027233631765484056,1.2610139662237285,48,0.007887832329220391,3.9999999999999956
45.0,1,4,4,1.2183,264,0.0003913776510749368,4.641301030092527,155,0.0002724809606670996,1.2609515142078729,42,0.010462592275539905,4.000000000000011
45.0,1,5,4,1.2183,260,0.0004307923177493524,4.698087633009872,154,0.00027255316232489027,1.260947484203287,39,0.013204028566238238,4.000000000000004
45.0,2,0,1,1.21,180,0.0003087833752638367,1.6017592728713659,180,0.0003087833752638367,1.6017592728713659,115,0.0009632091869372979,1.9900210362714514
45.0,2,1,4,1.207,206,0.0003962021893190469,4.029910631892377,149,0.00035791666834838917,1.2604989683598775,79,0.002995052166198878,4.000000000000003
45.0,2,2,4,1.2101,233,0.0004410517892458605,4.318363120312758,143,0.00036597875070132043,1.2513390124412858,62,0.005166534426141332,4.000000000000003
45.0,2,3,4,1.2072,240,0.00048389444166519277,4.471881441479266,143,0.000367976176670198,1.2461961789770497,52,0.007490356346612618,4.000000000000003
45.0,2,4,4,1.21,238,0.0005306166604849856,4.606127786001192,143,0.00036866215008741154,1.2460560525730717,45,0.009981917480808174,4.000000000000004
45.0,2,5,4,1.2101,230,0.0005834505293878799,4.673346742679238,143,0.00036903161689889045,1.2460521987618844,40,0.012655321553812991,3.9999999999999973
45.0,5,0,1,1.2128,171,0.00035357577741182016,1.6740954490238098,171,0.00035357577741182016,1.6740954490238098,131,0.0007264090878441238,1.9895012606919817
45.0,5,1,4,1.2103,179,0.0005229363282608483,4.01054269838284,134,0.0004653223243184279,1.3379238516091645,88,0.0022828380988047753,4.0000000000000036
45.0,5,2,4,1.2129,194,0.0006003771843952125,4.228447475957314,129,0.0004915826309884852,1.3026854306691766,69,0.003984955588314733,4.0000000000000036
