# window sweep: n=24 nd=13824 steps=350 regime=2 gcut=1e-12
step,t,s1_cold,s1_m4,s1_m8,s1_m12,s1_m16,s1_m24,s1_m32,s1_m48,s1_m64,s2_cold,s2_m4,s2_m8,s2_m12,s2_m16,s2_m24,s2_m32,s2_m48,s2_m64,s3_cold,s3_m4,s3_m8,s3_m12,s3_m16,s3_m24,s3_m32,s3_m48,s3_m64
126,126,16,1,0,0,0,0,0,0,0,156,6,0,0,0,0,0,0,0,141,6,0,0,0,0,0,0,0
127,127,16,1,0,0,0,0,0,0,0,163,13,8,1,1,0,0,0,0,144,10,4,0,0,0,0,0,0
128,128,15,0,0,0,0,0,0,0,0,164,11,1,1,1,0,0,0,0,148,15,5,4,3,5,2,0,4
129,129,16,1,0,0,0,0,0,0,0,161,1,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0
130,130,16,2,0,0,0,0,0,0,0,161,10,0,0,0,0,0,0,0,144,10,0,0,0,0,0,0,0
131,131,16,2,0,0,0,0,0,0,0,160,2,0,0,0,0,0,0,0,144,4,0,0,0,0,0,0,0
132,132,16,1,1,1,0,0,0,0,0,160,5,7,1,0,0,0,0,0,143,2,4,1,0,0,0,0,0
133,133,16,0,0,0,0,0,0,0,0,160,10,0,0,0,0,0,0,0,144,5,0,0,0,0,0,0,0
134,134,16,0,0,0,0,0,0,0,0,161,1,0,0,0,0,0,0,0,144,1,0,0,0,0,0,0,0
135,135,16,0,0,0,0,0,0,0,0,162,2,1,0,0,0,0,0,0,146,7,0,0,0,0,0,0,0
136,136,15,0,0,0,0,0,0,0,0,165,4,3,3,4,0,0,0,0,148,11,3,3,3,3,2,0,0
137,137,16,2,1,0,0,0,0,0,0,160,5,1,0,0,0,0,0,0,141,6,1,0,0,0,0,0,0
138,138,16,3,1,0,0,0,0,0,0,159,7,1,0,0,0,0,0,0,143,8,5,1,0,0,0,0,0
139,139,16,2,0,0,0,0,0,0,0,161,11,1,1,0,0,0,0,0,146,15,4,4,0,0,0,0,0
140,140,15,1,0,0,0,0,0,0,0,164,11,5,1,0,0,0,0,0,149,17,7,5,3,0,4,1,0
