# asm_stride_test  n=24 nd=13824 steps=6000 dt=0.01 ms (T=60 ms) stride=50 (Sys2/Sys3 every 0.5 ms) win=16/64 regime=0 pc=sASM+IC(0) nsub=4 ovl=1 setup=0.001 s
step,t_ms,s1_v0,s1_v1,s1_v2,s1_v3,s2_v0,s2_v1,s2_v2,s2_v3,s3_v0,s3_v1,s3_v2,s3_v3
194,1.9400,7,4,4,4,-,-,-,-,-,-,-,-
195,1.9500,7,4,4,4,-,-,-,-,-,-,-,-
196,1.9600,7,4,4,4,-,-,-,-,-,-,-,-
197,1.9700,7,4,4,4,-,-,-,-,-,-,-,-
198,1.9800,7,4,4,4,-,-,-,-,-,-,-,-
199,1.9900,7,4,4,4,-,-,-,-,-,-,-,-
200,2.0000,7,4,4,4,60,59,59,59,59,58,54,54
201,2.0100,7,4,4,4,-,-,-,-,-,-,-,-
202,2.0200,7,4,4,4,-,-,-,-,-,-,-,-
203,2.0300,7,4,4,4,-,-,-,-,-,-,-,-
204,2.0400,7,4,4,4,-,-,-,-,-,-,-,-
205,2.0500,7,4,4,4,-,-,-,-,-,-,-,-
206,2.0600,7,4,4,4,-,-,-,-,-,-,-,-
207,2.0700,7,4,4,4,-,-,-,-,-,-,-,-
208,2.0800,7,4,4,4,-,-,-,-,-,-,-,-
209,2.0900,7,4,4,4,-,-,-,-,-,-,-,-
210,2.1000,7,4,4,4,-,-,-,-,-,-,-,-
211,2.1100,7,4,4,4,-,-,-,-,-,-,-,-
212,2.1200,7,4,4,4,-,-,-,-,-,-,-,-
213,2.1300,7,4,4,4,-,-,-,-,-,-,-,-
214,2.1400,7,4,4,4,-,-,-,-,-,-,-,-
215,2.1500,7,4,4,4,-,-,-,-,-,-,-,-
216,2.1600,7,4,4,4,-,-,-,-,-,-,-,-
217,2.1700,7,4,4,4,-,-,-,-,-,-,-,-
218,2.1800,7,4,4,4,-,-,-,-,-,-,-,-
219,2.1900,7,4,4,4,-,-,-,-,-,-,-,-
220,2.2000,7,4,4,4,-,-,-,-,-,-,-,-
221,2.2100,7,4,4,4,-,-,-,-,-,-,-,-
222,2.2200,7,4,4,4,-,-,-,-,-,-,-,-
223,2.2300,7,4,4,4,-,-,-,-,-,-,-,-
224,2.2400,7,4,4,4,-,-,-,-,-,-,-,-
225,2.2500,7,4,4,4,-,-,-,-,-,-,-,-
226,2.2600,7,4,4,4,-,-,-,-,-,-,-,-
227,2.2700,7,4,4,4,-,-,-,-,-,-,-,-
228,2.2800,7,4,4,4,-,-,-,-,-,-,-,-
229,2.2900,7,4,4,4,-,-,-,-,-,-,-,-
230,2.3000,7,4,4,4,-,-,-,-,-,-,-,-
231,2.3100,7,4,4,4,-,-,-,-,-,-,-,-
232,2.3200,7,4,4,4,-,-,-,-,-,-,-,-
233,2.3300,7,4,4,4,-,-,-,-,-,-,-,-
234,2.3400,7,4,4,4,-,-,-,-,-,-,-,-
235,2.3500,7,4,4,4,-,-,-,-,-,-,-,-
236,2.3600,7,4,4,4,-,-,-,-,-,-,-,-
237,2.3700,7,4,4,4,-,-,-,-,-,-,-,-
238,2.3800,7,4,4,4,-,-,-,-,-,-,-,-
239,2.3900,7,4,4,4,-,-,-,-,-,-,-,-
240,2.4000,7,4,4,4,-,-,-,-,-,-,-,-
241,2.4100,7,4,4,4,-,-,-,-,-,-,-,-
242,2.4200,7,4,4,4,-,-,-,-,-,-,-,-
243,2.4300,7,4,4,4,-,-,-,-,-,-,-,-
244,2.4400,7,4,4,4,-,-,-,-,-,-,-,-
245,2.4500,7,4,4,4,-,-,-,-,-,-,-,-
246,2.4600,7,4,4,4,-,-,-,-,-,-,-,-
247,2.4700,7,4,4,4,-,-,-,-,-,-,-,-
248,2.4800,7,4,4,4,-,-,-,-,-,-,-,-
249,2.4900,7,4,4,4,-,-,-,-,-,-,-,-
250,2.5000,7,4,4,4,61,59,59,59,60,58,53,53
251,2.5100,7,4,4,4,-,-,-,-,-,-,-,-
252,2.5200,7,4,4,4,-,-,-,-,-,-,-,-
253,2.5300,7,4,4,4,-,-,-,-,-,-,-,-
254,2.5400,7,4,4,4,-,-,-,-,-,-,-,-
255,2.5500,7,4,4,4,-,-,-,-,-,-,-,-
256,2.5600,7,4,4,4,-,-,-,-,-,-,-,-
257,2.5700,7,4,4,4,-,-,-,-,-,-,-,-
258,2.5800,7,4,4,4,-,-,-,-,-,-,-,-
259,2.5900,7,4,4,4,-,-,-,-,-,-,-,-
260,2.6000,7,4,4,4,-,-,-,-,-,-,-,-
261,2.6100,7,4,4,4,-,-,-,-,-,-,-,-
262,2.6200,7,4,4,4,-,-,-,-,-,-,-,-
263,2.6300,7,4,4,4,-,-,-,-,-,-,-,-
264,2.6400,7,4,4,4,-,-,-,-,-,-,-,-
265,2.6500,7,4,4,4,-,-,-,-,-,-,-,-
266,2.6600,7,4,4,4,-,-,-,-,-,-,-,-
267,2.6700,7,4,4,4,-,-,-,-,-,-,-,-
268,2.6800,7,4,4,4,-,-,-,-,-,-,-,-
269,2.6900,7,4,4,4,-,-,-,-,-,-,-,-
270,2.7000,7,4,4,4,-,-,-,-,-,-,-,-
271,2.7100,7,4,4,4,-,-,-,-,-,-,-,-
272,2.7200,7,4,4,4,-,-,-,-,-,-,-,-
273,2.7300,7,4,4,4,-,-,-,-,-,-,-,-
274,2.7400,7,4,4,4,-,-,-,-,-,-,-,-
275,2.7500,7,4,4,4,-,-,-,-,-,-,-,-
276,2.7600,7,4,4,4,-,-,-,-,-,-,-,-
277,2.7700,7,4,4,4,-,-,-,-,-,-,-,-
278,2.7800,7,4,4,4,-,-,-,-,-,-,-,-
279,2.7900,7,4,4,4,-,-,-,-,-,-,-,-
280,2.8000,7,4,4,4,-,-,-,-,-,-,-,-
281,2.8100,7,4,4,4,-,-,-,-,-,-,-,-
282,2.8200,7,4,4,4,-,-,-,-,-,-,-,-
283,2.8300,7,4,4,4,-,-,-,-,-,-,-,-
284,2.8400,7,4,4,4,-,-,-,-,-,-,-,-
