step,t_ms,e0,e1,e2,e3,e4,e5,e6,e7
94,0.9400,-1.3893932684e-01,-1.2500053631e-01,-1.1222563177e-01,-9.9765938306e-02,-1.1078994320e-01,-1.0303449562e-01,-9.5635026614e-02,-8.8127919395e-02
95,0.9500,-1.4145965028e-01,-1.2727335712e-01,-1.1427015875e-01,-1.0158642976e-01,-1.1280921144e-01,-1.0491350161e-01,-9.7379754861e-02,-8.9735962381e-02
96,0.9600,-1.4397997373e-01,-1.2954617792e-01,-1.1631468574e-01,-1.0340692121e-01,-1.1482847968e-01,-1.0679250759e-01,-9.9124483107e-02,-9.1344005366e-02
97,0.9700,-1.4650029717e-01,-1.3181899871e-01,-1.1835921272e-01,-1.0522741266e-01,-1.1684774791e-01,-1.0867151357e-01,-1.0086921135e-01,-9.2952048350e-02
98,0.9800,-1.4902062060e-01,-1.3409181951e-01,-1.2040373970e-01,-1.0704790410e-01,-1.1886701615e-01,-1.1055051956e-01,-1.0261393960e-01,-9.4560091333e-02
99,0.9900,-1.5151577542e-01,-1.3634244372e-01,-1.2242866604e-01,-1.0885119913e-01,-1.2086702120e-01,-1.1241166756e-01,-1.0434210570e-01,-9.6152840619e-02
100,1.0000,-1.5400349265e-01,-1.3858650859e-01,-1.2444780018e-01,-1.1064941242e-01,-1.2286133377e-01,-1.1426753835e-01,-1.0606537752e-01,-9.7741070454e-02
101,1.0100,-1.5719712538e-01,-1.4146825266e-01,-1.2704144479e-01,-1.1296003584e-01,-1.2542309675e-01,-1.1665210448e-01,-1.0828026415e-01,-9.9783205506e-02
102,1.0200,-1.6039075810e-01,-1.4434999673e-01,-1.2963508939e-01,-1.1527065926e-01,-1.2798485973e-01,-1.1903667061e-01,-1.1049515077e-01,-1.0182534056e-01
103,1.0300,-1.6355392210e-01,-1.4720537279e-01,-1.3220587585e-01,-1.1756160720e-01,-1.3052423227e-01,-1.2140067858e-01,-1.1269114591e-01,-1.0385019278e-01
104,1.0400,-1.6666390762e-01,-1.5001435641e-01,-1.3473612056e-01,-1.1981736030e-01,-1.3302383446e-01,-1.2372801401e-01,-1.1485330114e-01,-1.0584395422e-01
105,1.0500,-1.6972563685e-01,-1.5278045336e-01,-1.3722820288e-01,-1.2203936117e-01,-1.3548587878e-01,-1.2602038998e-01,-1.1698290510e-01,-1.0780753434e-01
106,1.0600,-1.7278736608e-01,-1.5554655031e-01,-1.3972028520e-01,-1.2426136203e-01,-1.3794792311e-01,-1.2831276595e-01,-1.1911250906e-01,-1.0977111445e-01
107,1.0700,-1.7584909532e-01,-1.5831264727e-01,-1.4221236752e-01,-1.2648336290e-01,-1.4040996744e-01,-1.3060514192e-01,-1.2124211302e-01,-1.1173469457e-01
108,1.0800,-1.7891082455e-01,-1.6107874422e-01,-1.4470444984e-01,-1.2870536376e-01,-1.4287201177e-01,-1.3289751789e-01,-1.2337171698e-01,-1.1369827469e-01
109,1.0900,-1.8197255379e-01,-1.6384484118e-01,-1.4719653217e-01,-1.3092736463e-01,-1.4533405610e-01,-1.3518989386e-01,-1.2550132095e-01,-1.1566185481e-01
110,1.1000,-1.8502405910e-01,-1.6660199563e-01,-1.4968078263e-01,-1.3314255371e-01,-1.4778841460e-01,-1.3747517628e-01,-1.2762437430e-01,-1.1761941255e-01
111,1.1100,-1.8801945419e-01,-1.6931007243e-01,-1.5212205080e-01,-1.3532035881e-01,-1.5020059225e-01,-1.3972152832e-01,-1.2971147706e-01,-1.1954391874e-01
112,1.1200,-1.9130003348e-01,-1.7227508987e-01,-1.5479428763e-01,-1.3770374670e-01,-1.5284080184e-01,-1.4218013878e-01,-1.3199577897e-01,-1.2165034109e-01
113,1.1300,-1.9574600117e-01,-1.7629007999e-01,-1.5841036413e-01,-1.4092723648e-01,-1.5641285050e-01,-1.4550613072e-01,-1.3508592350e-01,-1.2450015308e-01
114,1.1400,-2.0018047399e-01,-1.8029478059e-01,-1.6201721929e-01,-1.4414250976e-01,-1.5997581239e-01,-1.4882363249e-01,-1.3816813359e-01,-1.2734258037e-01
115,1.1500,-2.0453336141e-01,-1.8422817770e-01,-1.6556167268e-01,-1.4730354459e-01,-1.6347754818e-01,-1.5208463816e-01,-1.4119818229e-01,-1.3013706127e-01
116,1.1600,-2.0885364246e-01,-1.8813269437e-01,-1.6908051841e-01,-1.5044201959e-01,-1.6695409888e-01,-1.5532224708e-01,-1.4420648886e-01,-1.3291142501e-01
117,1.1700,-2.1316843356e-01,-1.9203232480e-01,-1.7259501116e-01,-1.5357664112e-01,-1.7042636476e-01,-1.5855586580e-01,-1.4721107874e-01,-1.3568234168e-01
118,1.1800,-2.1748322549e-01,-1.9593195608e-01,-1.7610950480e-01,-1.5671126360e-01,-1.7389863155e-01,-1.6178948545e-01,-1.5021566960e-01,-1.3845325938e-01
119,1.1900,-2.2179801741e-01,-1.9983158735e-01,-1.7962399843e-01,-1.5984588608e-01,-1.7737089833e-01,-1.6502310509e-01,-1.5322026045e-01,-1.4122417708e-01
120,1.2000,-2.2611280933e-01,-2.0373121862e-01,-1.8313849206e-01,-1.6298050855e-01,-1.8084316511e-01,-1.6825672473e-01,-1.5622485129e-01,-1.4399509478e-01
121,1.2100,-2.3040709994e-01,-2.0761288717e-01,-1.8663723407e-01,-1.6610141859e-01,-1.8429997175e-01,-1.7147606802e-01,-1.5921625382e-01,-1.4675388506e-01
122,1.2200,-2.3459275261e-01,-2.1139892281e-01,-1.9005171431e-01,-1.6914860061e-01,-1.8767400072e-01,-1.7461877981e-01,-1.6213668900e-01,-1.4944724746e-01
123,1.2300,-2.3878583419e-01,-2.1519130421e-01,-1.9347163480e-01,-1.7220041943e-01,-1.9105334807e-01,-1.7776635163e-01,-1.6506157182e-01,-1.5214466370e-01
