dim,S,nx,coef,rho,scheme,exact,iccL,overlap,N,iter,reason,lam_min,lam_max,kappa,Nhat,omega
2,4,49,layers_unaligned,10.0,0,0,0,2,2401,122,2,0.00067043,4.3616,6505.6,4,1.2336
2,4,49,layers_unaligned,100.0,0,0,0,2,2401,130,2,7.8504e-05,4.3616,55558.0,4,1.2328
2,4,49,layers_unaligned,1000.0,0,0,0,2,2401,137,2,7.9812e-06,4.3616,546470.0,4,1.2322
2,4,49,layers_unaligned,10000.0,0,0,0,2,2401,146,2,7.9945e-07,4.3616,5455700.0,4,1.2324
2,4,49,layers_unaligned,1.0,3,0,0,2,2401,79,2,0.0016557,1.267,765.25,4,1.2324
2,4,49,layers_unaligned,10.0,3,0,0,2,2401,82,2,0.00053159,1.2723,2393.3,4,1.2336
2,4,49,layers_unaligned,100.0,3,0,0,2,2401,86,2,6.2627e-05,1.274,20343.0,4,1.2328
2,4,49,layers_unaligned,1000.0,3,0,0,2,2401,92,2,6.3711e-06,1.2743,200000.0,4,1.2322
2,4,49,layers_unaligned,10000.0,3,0,0,2,2401,98,2,6.3821e-07,1.2743,1996600.0,4,1.2324
2,4,49,checker,1.0,0,0,0,2,2401,119,2,0.002167,4.3615,2012.7,4,1.2324
2,4,49,checker,10.0,0,0,0,2,2401,132,2,0.001257,4.2628,3391.4,4,1.225
2,4,49,checker,100.0,0,0,0,2,2401,150,2,0.000241,4.2111,17474.0,4,1.2339
2,4,49,checker,1000.0,0,0,0,2,2401,182,2,2.6685e-05,4.2047,157570.0,4,1.2337
2,4,49,checker,10000.0,0,0,0,2,2401,215,2,2.6978e-06,4.2041,1558300.0,4,1.2339
2,4,49,checker,1.0,3,0,0,2,2401,79,2,0.0016557,1.267,765.25,4,1.2324
2,4,49,checker,10.0,3,0,0,2,2401,87,2,0.00098086,1.3821,1409.1,4,1.225
2,4,49,checker,100.0,3,0,0,2,2401,109,2,0.00019011,2.5428,13375.0,4,1.2339
2,4,49,checker,1000.0,3,0,0,2,2401,159,2,2.1077e-05,12.363,586590.0,4,1.2337
2,4,49,checker,10000.0,3,0,0,2,2401,275,2,2.131e-06,108.93,51116000.0,4,1.2339
3,4,25,layers,1.0,0,0,0,2,15625,106,2,0.0068973,7.399,1072.7,7,1.1414
3,4,25,layers,10.0,0,0,0,2,15625,131,2,0.001691,7.3772,4362.6,7,1.1447
3,4,25,layers,100.0,0,0,0,2,15625,142,2,0.00019223,7.3654,38316.0,7,1.1467
3,4,25,layers,1000.0,0,0,0,2,15625,152,2,1.9486e-05,7.3639,377910.0,7,1.145
3,4,25,layers,10000.0,0,0,0,2,15625,165,2,1.9513e-06,7.3638,3773800.0,7,1.1418
3,4,25,layers,1.0,3,0,0,2,15625,62,2,0.0032567,1.2004,368.6,7,1.1414
3,4,25,layers,10.0,3,0,0,2,15625,71,2,0.00081769,1.2047,1473.3,7,1.1447
3,4,25,layers,100.0,3,0,0,2,15625,80,2,9.3333e-05,1.2067,12929.0,7,1.1467
3,4,25,layers,1000.0,3,0,0,2,15625,87,2,9.4652e-06,1.2069,127510.0,7,1.145
3,4,25,layers,10000.0,3,0,0,2,15625,94,2,9.4786e-07,1.2069,1273300.0,7,1.1418
3,4,25,layers_unaligned,1.0,0,0,0,2,15625,106,2,0.0068973,7.399,1072.7,7,1.1414
3,4,25,layers_unaligned,10.0,0,0,0,2,15625,129,2,0.0019802,7.3992,3736.5,7,1.1482
3,4,25,layers_unaligned,100.0,0,0,0,2,15625,138,2,0.0002294,7.3992,32255.0,7,1.1503
3,4,25,layers_unaligned,1000.0,0,0,0,2,15625,150,2,2.3296e-05,7.3992,317620.0,7,1.1475
3,4,25,layers_unaligned,10000.0,0,0,0,2,15625,159,2,2.3332e-06,7.3992,3171300.0,7,1.131
3,4,25,layers_unaligned,1.0,3,0,0,2,15625,62,2,0.0032567,1.2004,368.6,7,1.1414
3,4,25,layers_unaligned,10.0,3,0,0,2,15625,72,2,0.001004,1.2173,1212.5,7,1.1482
3,4,25,layers_unaligned,100.0,3,0,0,2,15625,80,2,0.00011758,1.2273,10438.0,7,1.1503
3,4,25,layers_unaligned,1000.0,3,0,0,2,15625,86,2,1.1954e-05,1.2285,102770.0,7,1.1475
3,4,25,layers_unaligned,10000.0,3,0,0,2,15625,92,2,1.1974e-06,1.2286,1026100.0,7,1.131
3,4,25,checker,1.0,0,0,0,2,15625,106,2,0.0068973,7.399,1072.7,7,1.1414
3,4,25,checker,10.0,0,0,0,2,15625,147,2,0.004696,7.2436,1542.5,7,1.1999
3,4,25,checker,100.0,0,0,0,2,15625,248,2,0.00094697,7.1502,7550.6,7,1.2334
3,4,25,checker,1000.0,0,0,0,2,15625,399,2,0.00010488,7.1186,67875.0,7,1.2383
3,4,25,checker,10000.0,0,0,0,2,15625,491,2,1.0601e-05,7.1142,671070.0,7,1.2388
3,4,25,checker,1.0,3,0,0,2,15625,62,2,0.0032567,1.2004,368.6,7,1.1414
3,4,25,checker,10.0,3,0,0,2,15625,87,2,0.0022809,1.3429,588.78,7,1.1999
3,4,25,checker,100.0,3,0,0,2,15625,154,2,0.00046668,2.4244,5195.0,7,1.2334
3,4,25,checker,1000.0,3,0,0,2,15625,294,2,5.1767e-05,10.439,201660.0,7,1.2383
3,4,25,checker,10000.0,3,0,0,2,15625,505,2,5.2335e-06,87.798,16776000.0,7,1.2388
